Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
366706,Influenza - Avian,;H7N3 HPAI;,18.360698,-97.1558,OB_127409 - AJALPAN,Mexico,Americas,2022-05-03T00:00:00Z,2023-11-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
386761,Influenza - Avian,;H7N3 HPAI;,18.5656,-97.5245,135583 TEPANCO DE LOPEZ,Mexico,Americas,2024-04-25T00:00:00Z,2024-08-21T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211772,Influenza - Avian,;H7N3 HPAI;,18.836419,-97.820511,Tehuacán,Mexico,Americas,2016-03-09T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
386762,Influenza - Avian,;H7N3 HPAI;,18.4765,-97.3863,135582 TEHUACAN,Mexico,Americas,2024-05-06T00:00:00Z,2024-08-21T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211765,Influenza - Avian,;H7N3 HPAI;,18.836419,-97.820521,Tehuacán,Mexico,Americas,2016-02-23T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211775,Influenza - Avian,;H7N3 HPAI;,18.715895,-97.306,Acultzingo,Mexico,Americas,2016-03-23T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
386763,Influenza - Avian,;H7N3 HPAI;,18.488108,-97.403009,135581 TEHUACAN,Mexico,Americas,2024-04-21T00:00:00Z,2024-08-21T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
366705,Influenza - Avian,;H7N3 HPAI;,18.53,-97.3486,OB_127410 - TEHUACÁN,Mexico,Americas,2022-05-04T00:00:00Z,2023-11-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
366468,Influenza - Avian,;H7N6 HPAI;,-24.2,29,OB_127208 - HPAI_H7_2023_100 - HPAI_H7_2023_100,South Africa,Africa,2023-09-08T00:00:00Z,2023-11-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
234390,Influenza - Avian,;H5N8 HPAI;,-25.2,29.3,HPAI_H5N8_2017_150,South Africa,Africa,2018-02-11T00:00:00Z,2018-03-01T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
362464,Influenza - Avian,;H7N6 HPAI;,-25,28.5,HPAI_H7_2023_036,South Africa,Africa,2023-08-22T00:00:00Z,2023-09-06T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
299216,Influenza - Avian,;H5N1 HPAI;,-24.3,30.8,HPAI_H5N1_2021_W_028,South Africa,Africa,2021-07-01T00:00:00Z,2021-08-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
370249,Influenza - Avian,;H7N6 HPAI;,-23,28.7,OB_129589 - HPAI_H7_2023_113 - HPAI_H7_2023_113,South Africa,Africa,2023-12-11T00:00:00Z,2024-01-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
363797,Influenza - Avian,;H7N6 HPAI;,-25,28.3,OB_125502 - HPAI_H7_2023_060 - HPAI_H7_2023_060,South Africa,Africa,2023-09-09T00:00:00Z,2023-10-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
235847,Influenza - Avian,;H5N8 HPAI;,-24.7,28.4,HPAI_H5N8_2017_175,South Africa,Africa,2018-03-12T00:00:00Z,2018-04-17T00:00:00Z,"Captive,Anatidae (unidentified),",WOAH (former OIE),,,Confirmed
362462,Influenza - Avian,;H7N6 HPAI;,-25.2,28.4,HPAI_H7_2023_038,South Africa,Africa,2023-08-22T00:00:00Z,2023-09-06T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
363795,Influenza - Avian,;H7N6 HPAI;,-24.7,28.9,OB_125506 - HPAI_H7_2023_063 - HPAI_H7_2023_063,South Africa,Africa,2023-09-09T00:00:00Z,2023-10-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
350488,Influenza - Avian,;H5N1 HPAI;,-20.787022,-65.714583,COTAGAITA_IRICCINA,Bolivia,Americas,2023-02-19T00:00:00Z,2023-04-07T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
323992,Influenza - Avian,;H5N1 HPAI;,9.6071,-13.3884,"Kakoulimayah	9.6071	-13.3884",Guinea,Africa,2022-05-01T00:00:00Z,2022-06-03T00:00:00Z,"Domestic,Chicken,",FAO ECTAD RAF,,,Confirmed
328580,Influenza - Avian,;H5N1 HPAI;,9.600341,-13.375471,Bonfè_Wonkifong_Coyah,Guinea,Africa,,2022-06-24T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328546,Influenza - Avian,;H5N1 HPAI;,9.67365,-13.334598,Tambayah_Wonkifong_Coyah,Guinea,Africa,,2022-07-10T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328547,Influenza - Avian,;H5N1 HPAI;,9.641582,-13.306603,Mangata_Wonkifong_Coyah,Guinea,Africa,,2022-07-10T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328582,Influenza - Avian,;H5N1 HPAI;,9.382248,-13.176657,Kiriyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-24T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328557,Influenza - Avian,;H5N1 HPAI;,9.680278,-13.369659,Lefouré Dakha_Wonkifong_Coyah,Guinea,Africa,,2022-06-30T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328554,Influenza - Avian,;H5N1 HPAI;,9.618385,-13.421488,Doneyah_Wonkifon_Coyah,Guinea,Africa,,2022-06-28T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328568,Influenza - Avian,;H5N1 HPAI;,9.609008,-13.289953,Maleah KM 66_Forecaryah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
323810,Influenza - Avian,;H5N1 HPAI;,9.549797,-13.353586,Moribayah Centre ,Guinea,Africa,2022-04-18T00:00:00Z,2022-06-02T00:00:00Z,"Domestic,Chicken,",FAO ECTAD RAF,,,Confirmed
328583,Influenza - Avian,;H5N1 HPAI;,9.656831,-13.312834,Tambayah_Wonkifong_Coyah,Guinea,Africa,,2022-06-25T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328563,Influenza - Avian,;H5N1 HPAI;,9.614737,-13.410914,Doneah_Wonkifong_Coyah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328558,Influenza - Avian,;H5N1 HPAI;,9.383272,-13.180313,Kiryah_Wonkifong_Coyah,Guinea,Africa,,2022-07-02T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328543,Influenza - Avian,;H5N1 HPAI;,9.704209,-13.365151,Doneah_Wonkifong_Coyah,Guinea,Africa,,2022-07-07T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328577,Influenza - Avian,;H5N1 HPAI;,9.36563,-13.135383,Kiriyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-23T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328581,Influenza - Avian,;H5N1 HPAI;,9.652182,-13.383135,Wonkifong Village_Wonkifong_Coyah,Guinea,Africa,,2022-06-24T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328572,Influenza - Avian,;H5N1 HPAI;,9.373834,-13.214329,Mangata_Moribayah_Forecaryah,Guinea,Africa,,2022-06-22T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
323991,Influenza - Avian,;H5N1 HPAI;,9.61,-13.38,Moussaya,Guinea,Africa,2022-04-28T00:00:00Z,2022-06-03T00:00:00Z,"Domestic,Chicken,",FAO ECTAD RAF,,,Confirmed
328570,Influenza - Avian,;H5N1 HPAI;,9.637838,-13.28907,Yangoyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-22T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328565,Influenza - Avian,;H5N1 HPAI;,9.649675,-13.315131,Moribayah Centre 2_Forecaryah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328541,Influenza - Avian,;H5N1 HPAI;,9.556261,-13.355306,Diadayah_Maferinya_Forecariyah,Guinea,Africa,,2022-07-16T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
323993,Influenza - Avian,;H5N1 HPAI;,9.651551,-13.35449,Moussayah,Guinea,Africa,2022-05-03T00:00:00Z,2022-06-03T00:00:00Z,"Domestic,Chicken,",FAO ECTAD RAF,,,Confirmed
328579,Influenza - Avian,;H5N1 HPAI;,9.36563,-13.135383,Kiriyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-23T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328553,Influenza - Avian,;H5N1 HPAI;,9.615208,-13.410144,Doneyah_Wonkifon_Coyah,Guinea,Africa,,2022-06-28T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
