Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status,Cleaned_Species,Last_Word,Habitat
310465,Influenza - Avian,;H5N1 HPAI;,50.586343,7.999678,Stahlhofen am Wiesensee,Germany,Europe,2021-11-18T00:00:00Z,2022-01-06T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
308030,Influenza - Avian,;H5N1 HPAI;,50.5941,7.82054,Dreifelden,Germany,Europe,2021-11-06T00:00:00Z,2021-12-01T00:00:00Z,"Wild,Pelecanidae (unidentified):Pelecanidae (incognita)(Pelecanidae),",WOAH (former OIE),NA,NA,Confirmed,Pelecanidae,pelecanidae,Other
358033,Influenza - Avian,;H5N1 HPAI;,49.59,7.825,SCHWEISWEILER,Germany,Europe,2023-05-10T00:00:00Z,2023-07-12T00:00:00Z,"Wild,Red Fox,",WOAH (former OIE),NA,NA,Confirmed,Red Fox,fox,MM
296311,Influenza - Avian,;H5N8 HPAI;,49.58,8.36,Bobenheim-Roxheim,Germany,Europe,2021-01-20T00:00:00Z,2021-05-27T00:00:00Z,"Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anserinae,anserinae,FW
310469,Influenza - Avian,;H5N1 HPAI;,50.593904,7.807106,Steinebach an der Wied,Germany,Europe,2021-11-16T00:00:00Z,2022-01-06T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
224775,Influenza - Avian,;H5N8 HPAI;,49.49,8.02,Carlsberg,Germany,Europe,2017-02-27T00:00:00Z,2017-02-28T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),NA,NA,Confirmed,"Unspecified bird,","bird,",PO
225663,Influenza - Avian,;H5N8 HPAI;,49.76,6.66,Trier,Germany,Europe,2017-03-01T00:00:00Z,2017-03-23T00:00:00Z,"Wild,Anatidae (unidentified),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
223377,Influenza - Avian,;H5N8 HPAI;,50.18,7.64,Rhein-Hunsrück-Kreis,Germany,Europe,2017-01-27T00:00:00Z,2017-02-03T00:00:00Z,"Wild,Swan,",WOAH (former OIE),NA,NA,Confirmed,Swan,swan,FW
287364,Influenza - Avian,;H5N8 HPAI;,49.58,8.36,Bobenheim-Roxheim,Germany,Europe,2021-01-20T00:00:00Z,2021-01-26T00:00:00Z,"Wild,Quail,Wild,Phasianidae (unidentified):Phasianidae (incognita)(Phasianidae),Wild,Accipitridae (Accipitridae),Wild,Anatidae (unidentified),Wild,Heron,Wild,Stork,Wild,Pigeon,Wild,Crane,Wild,Unspecified bird,Wild,Eurasian Tree Sparrow ,Wild,Common pheasant (Phasianus colchicus),Wild,Greater flamingo (Phoenicopterus roseus),Wild,Cockatiel,Wild,Owl,Wild,Black-faced spoonbill (Platalea minor),Wild,Duck,Wild,Swan,Captive,Phasianidae (unidentified):Phasianidae (incognita)(Phasianidae),",WOAH (former OIE),NA,NA,Confirmed,Quail,quail,PO
348578,Influenza - Avian,;H5N1 HPAI;,50.22,7.15,Kaisersesch,Germany,Europe,2023-03-14T00:00:00Z,2023-03-16T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),NA,NA,Confirmed,Chicken,chicken,PO
